"","key","value","x","country","region"
"392","self_isolating_if_ill",2020-03-16,5.3,"France","Yonne"
"393","public_events",2020-03-13,5.3,"France","Yonne"
"394","lockdown",2020-03-17,5.3,"France","Yonne"
"395","social_distancing_encouraged",2020-03-16,5,"France","Yonne"
"396","schools_universities",2020-03-14,2.3,"France","Territoire de Belfort"
"397","self_isolating_if_ill",2020-03-16,2.3,"France","Territoire de Belfort"
"398","public_events",2020-03-13,2.3,"France","Territoire de Belfort"
"399","lockdown",2020-03-17,2.3,"France","Territoire de Belfort"
"400","social_distancing_encouraged",2020-03-16,2,"France","Territoire de Belfort"
"401","schools_universities",2020-03-14,5.3,"France","Essonne"
"402","self_isolating_if_ill",2020-03-16,5.3,"France","Essonne"
"403","public_events",2020-03-13,5.3,"France","Essonne"
"404","lockdown",2020-03-17,5.3,"France","Essonne"
"405","social_distancing_encouraged",2020-03-16,5,"France","Essonne"
"406","schools_universities",2020-03-14,4.3,"France","Hauts-de-Seine"
"407","self_isolating_if_ill",2020-03-16,4.3,"France","Hauts-de-Seine"
"408","public_events",2020-03-13,4.3,"France","Hauts-de-Seine"
"409","lockdown",2020-03-17,4.3,"France","Hauts-de-Seine"
"410","social_distancing_encouraged",2020-03-16,4,"France","Hauts-de-Seine"
"411","schools_universities",2020-03-14,4.3,"France","Seine-Saint-Denis"
"412","self_isolating_if_ill",2020-03-16,4.3,"France","Seine-Saint-Denis"
"413","public_events",2020-03-13,4.3,"France","Seine-Saint-Denis"
"414","lockdown",2020-03-17,4.3,"France","Seine-Saint-Denis"
"415","social_distancing_encouraged",2020-03-16,4,"France","Seine-Saint-Denis"
"416","schools_universities",2020-03-14,5.3,"France","Val-de-Marne"
"417","self_isolating_if_ill",2020-03-16,5.3,"France","Val-de-Marne"
"418","public_events",2020-03-13,5.3,"France","Val-de-Marne"
"419","lockdown",2020-03-17,5.3,"France","Val-de-Marne"
"420","social_distancing_encouraged",2020-03-16,5,"France","Val-de-Marne"
"421","schools_universities",2020-03-14,3.3,"France","Val-d'Oise"
"422","self_isolating_if_ill",2020-03-16,3.3,"France","Val-d'Oise"
"423","public_events",2020-03-13,3.3,"France","Val-d'Oise"
"424","lockdown",2020-03-17,3.3,"France","Val-d'Oise"
"425","social_distancing_encouraged",2020-03-16,3,"France","Val-d'Oise"
"426","schools_universities",2020-03-14,5.3,"France","Guadeloupe"
"427","self_isolating_if_ill",2020-03-16,5.3,"France","Guadeloupe"
"428","public_events",2020-03-13,5.3,"France","Guadeloupe"
"429","lockdown",2020-03-17,5.3,"France","Guadeloupe"
"430","social_distancing_encouraged",2020-03-16,5,"France","Guadeloupe"
"431","schools_universities",2020-03-14,1.3,"France","Martinique"
"432","self_isolating_if_ill",2020-03-16,1.3,"France","Martinique"
"433","public_events",2020-03-13,1.3,"France","Martinique"
"434","lockdown",2020-03-17,1.3,"France","Martinique"
"435","social_distancing_encouraged",2020-03-16,1,"France","Martinique"
"436","schools_universities",2020-03-14,1.3,"France","Mayotte"
